Sun May  4 21:21:41 2025    profile.prof

         21377172 function calls (21256768 primitive calls) in 20.703 seconds

   Ordered by: internal time
   List reduced from 5784 to 300 due to restriction <300>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1070    0.003    0.000    0.006    0.000 _namespace_utils.py:236(types_namespace)
  385/122    0.003    0.000    0.089    0.001 _generate_schema.py:1217(_common_field_schema)
     3630    0.003    0.000    0.003    0.000 {built-in method _codecs.utf_8_decode}
        1    0.003    0.003    0.088    0.088 database_accessor.py:576(advanced_search)
     1165    0.003    0.000    0.015    0.000 tokenize.py:346(detect_encoding)
        1    0.003    0.003    0.007    0.007 database.py:30(__init__)
     4160    0.003    0.000    0.003    0.000 {method '__exit__' of 'apsw.Connection' objects}
    17085    0.003    0.000    0.003    0.000 {method 'strip' of 'str' objects}
    10322    0.003    0.000    0.006    0.000 _fields.py:371(is_valid_field_name)
    20853    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
     7100    0.003    0.000    0.028    0.000 contextlib.py:132(__enter__)
    12003    0.003    0.000    0.003    0.000 {method 'rpartition' of 'str' objects}
   1235/9    0.003    0.000    1.246    0.138 <frozen importlib._bootstrap>:911(_load_unlocked)
     7100    0.003    0.000    0.007    0.000 contextlib.py:299(helper)
     8297    0.003    0.000    0.167    0.000 main.py:1126(__str__)
     2528    0.003    0.000    0.024    0.000 typing.py:892(__init__)
     8302    0.003    0.000    0.134    0.000 main.py:204(__init__)
     1201    0.003    0.000    0.119    0.000 inspect.py:1070(findsource)
    18434    0.003    0.000    0.003    0.000 {built-in method sys._getframe}
     1506    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:372(release)
     1506    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
 1045/556    0.003    0.000    0.057    0.000 _generate_schema.py:738(_generate_schema_from_property)
     6105    0.003    0.000    0.021    0.000 typing.py:166(_type_convert)
    16907    0.003    0.000    0.003    0.000 _parser.py:240(__next)
     4148    0.003    0.000    0.003    0.000 {method 'setData' of 'PySide6.QtWidgets.QTableWidgetItem' objects}
     7100    0.003    0.000    0.014    0.000 contextlib.py:141(__exit__)
 1311/580    0.003    0.000    0.007    0.000 _repr.py:91(display_as_type)
     4148    0.003    0.000    0.007    0.000 entry.py:158(get_status)
     3617    0.003    0.000    0.003    0.000 {method 'match' of 're.Pattern' objects}
     4017    0.003    0.000    0.007    0.000 _typing_extra.py:273(is_finalvar)
     3893    0.003    0.000    0.003    0.000 _model_construction.py:61(__setitem__)
2594/1188    0.002    0.000    0.003    0.000 {built-in method _abc._abc_subclasscheck}
     4631    0.002    0.000    0.002    0.000 enum.py:779(__delattr__)
    15580    0.002    0.000    0.004    0.000 typing.py:962(__eq__)
    12702    0.002    0.000    0.002    0.000 {method 'lstrip' of 'str' objects}
      740    0.002    0.000    0.028    0.000 typing.py:694(Union)
 8018/352    0.002    0.000    0.021    0.000 _core_utils.py:191(walk)
  633/630    0.002    0.000    0.054    0.000 {built-in method builtins.eval}
     5258    0.002    0.000    0.005    0.000 {built-in method builtins.delattr}
     2010    0.002    0.000    0.003    0.000 typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
        1    0.002    0.002    0.112    0.112 entry_editor.py:99(__init__)
        4    0.002    0.001    0.002    0.001 {method 'setValue' of 'PySide6.QtCore.QSettings' objects}
    10167    0.002    0.000    0.004    0.000 _parser.py:168(__getitem__)
        1    0.002    0.002    0.003    0.003 ui_setup.py:457(setup_toolbar)
      581    0.002    0.000    0.004    0.000 _compiler.py:243(_optimize_charset)
     6762    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:645(parent)
    12481    0.002    0.000    0.004    0.000 typing.py:1279(__eq__)
     3153    0.002    0.000    0.005    0.000 typing.py:1205(__getattr__)
     4148    0.002    0.000    0.016    0.000 entry.py:170(score)
      521    0.002    0.000    0.006    0.000 _config.py:99(for_model)
     1506    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:124(setdefault)
       40    0.002    0.000    0.004    0.000 {built-in method _imp.exec_dynamic}
     5828    0.002    0.000    0.002    0.000 _config.py:148(__getattr__)
   106/25    0.002    0.000    0.092    0.004 _generate_schema.py:622(_model_schema)
      133    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
     1176    0.002    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
       33    0.002    0.000    0.004    0.000 __init__.py:355(namedtuple)
     1235    0.002    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:1495(_get_spec)
     4411    0.002    0.000    0.003    0.000 enum.py:79(_is_private)
     1217    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:806(spec_from_file_location)
5987/4308    0.002    0.000    0.005    0.000 typing.py:430(<genexpr>)
        1    0.002    0.002    0.005    0.005 metadata_panel.py:41(setup_ui)
     2500    0.002    0.000    0.002    0.000 _parser.py:176(append)
       76    0.002    0.000    0.031    0.000 dataclasses.py:921(_process_class)
     3630    0.002    0.000    0.005    0.000 <frozen codecs>:319(decode)
1201/1197    0.002    0.000    0.128    0.000 inspect.py:1258(getsourcelines)
        1    0.002    0.002    0.914    0.914 main_window.py:1(<module>)
     2353    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      256    0.002    0.000    0.112    0.000 enum.py:857(_create_)
 6275/629    0.002    0.000    0.019    0.000 _core_utils.py:201(_handle_other_schemas)
        1    0.002    0.002    0.004    0.004 search.py:58(_setup_ui)
     1506    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:162(__enter__)
     3932    0.002    0.000    0.003    0.000 typing.py:1492(__subclasscheck__)
     4149    0.002    0.000    0.009    0.000 polib.py:1624(handle_mi)
     8296    0.002    0.000    0.003    0.000 entry.py:348(validate_po_entry)
   1176/8    0.002    0.000    1.218    0.152 <frozen importlib._bootstrap_external>:993(exec_module)
     1876    0.002    0.000    0.012    0.000 typing.py:1174(__init__)
      508    0.002    0.000    0.003    0.000 _mock_val_ser.py:152(set_model_mocks)
  740/347    0.002    0.000    0.019    0.000 _core_utils.py:346(handle_model_fields_schema)
        1    0.002    0.002    0.002    0.002 {method 'setStyleSheet' of 'PySide6.QtWidgets.QWidget' objects}
    12444    0.002    0.000    0.003    0.000 sgpo_adapter.py:59(msgctxt)
    11385    0.002    0.000    0.002    0.000 {method '__exit__' of '_thread.RLock' objects}
     1965    0.002    0.000    0.009    0.000 _typing_extra.py:244(is_classvar_annotation)
    11910    0.002    0.000    0.002    0.000 {built-in method builtins.id}
     3528    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       61    0.002    0.000    0.002    0.000 {method 'connect' of 'PySide6.QtCore.SignalInstance' objects}
     4148    0.002    0.000    0.004    0.000 entry.py:125(fuzzy)
      340    0.002    0.000    0.012    0.000 typing.py:753(Literal)
     2352    0.002    0.000    0.003    0.000 _namespace_utils.py:274(push)
1235/1214    0.002    0.000    0.151    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
2575/2508    0.002    0.000    0.080    0.000 _typing_extra.py:538(try_eval_type)
        1    0.002    0.002    0.002    0.002 {method 'remove' of 'PySide6.QtCore.QSettings' objects}
     1156    0.002    0.000    0.021    0.000 fields.py:280(from_annotation)
      730    0.002    0.000    0.025    0.000 <frozen abc>:105(__new__)
  492/115    0.002    0.000    0.035    0.000 _parser.py:452(_parse_sub)
      730    0.002    0.000    0.002    0.000 {built-in method _abc._abc_init}
      550    0.002    0.000    0.002    0.000 _namespace_utils.py:89(data)
     1160    0.002    0.000    0.098    0.000 linecache.py:36(getlines)
    10029    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
    24957    0.002    0.000    0.002    0.000 enum.py:1286(value)
     2121    0.002    0.000    0.002    0.000 _parser.py:312(_class_escape)
 1708/300    0.002    0.000    0.002    0.000 _parser.py:178(getwidth)
     1751    0.002    0.000    0.002    0.000 fields.py:536(_collect_metadata)
   796/25    0.002    0.000    0.092    0.004 _generate_schema.py:861(_generate_schema_inner)
      441    0.002    0.000    0.007    0.000 _generate_schema.py:1985(_get_prepare_pydantic_annotations_for_known_type)
     2965    0.001    0.000    0.003    0.000 {built-in method builtins.max}
     3932    0.001    0.000    0.005    0.000 typing.py:1221(__instancecheck__)
2575/2508    0.001    0.000    0.071    0.000 _typing_extra.py:593(eval_type_backport)
     4149    0.001    0.000    0.008    0.000 polib.py:1638(handle_ms)
       20    0.001    0.000    0.003    0.000 enum.py:1702(convert_class)
      553    0.001    0.000    0.003    0.000 _typing_extra.py:357(is_namedtuple)
     3802    0.001    0.000    0.003    0.000 enum.py:38(_is_descriptor)
      533    0.001    0.000    0.168    0.000 _model_construction.py:555(complete_model_class)
      521    0.001    0.000    0.002    0.000 _config.py:332(check_deprecated)
        2    0.001    0.001    0.001    0.001 {method 'setWindowTitle' of 'PySide6.QtWidgets.QWidget' objects}
        1    0.001    0.001    0.001    0.001 {method 'addItems' of 'PySide6.QtWidgets.QComboBox' objects}
     1620    0.001    0.000    0.010    0.000 functools.py:982(__get__)
      740    0.001    0.000    0.004    0.000 typing.py:345(_remove_dups_flatten)
     1986    0.001    0.000    0.004    0.000 _typing_extra.py:224(is_classvar)
     2302    0.001    0.000    0.017    0.000 _generate_schema.py:2446(get_schema_or_ref)
     6745    0.001    0.000    0.003    0.000 typing.py:1592(__eq__)
      521    0.001    0.000    0.003    0.000 _model_construction.py:277(_collect_bases_data)
2575/2508    0.001    0.000    0.069    0.000 _typing_extra.py:656(_eval_type)
1271/1267    0.001    0.000    0.007    0.000 inspect.py:754(unwrap)
     4172    0.001    0.000    0.002    0.000 enum.py:48(_is_dunder)
     4148    0.001    0.000    0.008    0.000 cache_manager.py:138(set_entry)
     1216    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1592(_get_spec)
     1885    0.001    0.000    0.003    0.000 tokenize.py:376(find_cookie)
     1920    0.001    0.000    0.002    0.000 core_schema.py:4108(_dict_not_none)
  1342/25    0.001    0.000    0.005    0.000 _core_utils.py:448(collect_refs)
     4411    0.001    0.000    0.002    0.000 enum.py:59(_is_sunder)
     1176    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:670(_classify_pyc)
      820    0.001    0.000    0.002    0.000 enum.py:1002(_find_data_type_)
     4149    0.001    0.000    0.002    0.000 sgpo_adapter.py:259(__iter__)
  403/122    0.001    0.000    0.084    0.001 _generate_schema.py:2015(_apply_annotations)
      521    0.001    0.000    0.002    0.000 _model_construction.py:648(set_deprecated_descriptors)
